song,artist,labels
Love (Can Make You Happy),Mercy,Sundi Records
When I Die,Motherlode,Buddah Records
Sweet Caroline,Neil Diamond,MCA Records
Things I'd Like To Say,New Colony Six,Mercury
Everybody's Talkin',Nilsson,RCA Victor
Jean,Oliver,Crewe Records
Good Morning Starshine,Oliver,CBS
Baby I'm For Real,Originals,Motown
"Mr. Sun, Mr. Moon",Paul Revere and The Raiders,Collectables
Is That All There Is?,Peggy Lee,Capitol Records
Gitarzan,Ray Stevens,Monument
Honky Tonk Women,Rolling Stones,Decca
I've Gotta Be Me,Sammy Davis Jr.,?
Everyday People,Sly and The Family Stone,Epic
Hot Fun In The Summertime,Sly and The Family Stone,Epic
Baby It's You,Smith,Stateside
"Baby, Baby Don't Cry",Smokey Robinson and The Miracles,?
Black Pearl,"Sonny Charles and The Checkmates, Ltd.",?
More Today Than Yesterday,Spiral Starecase,Columbia
My Cherie Amour,Stevie Wonder,Tamla Motown
I Can't Get Next To You,Temptations,Gordy
"Run Away Child, Running Wild",Temptations,Gordy
Easy To Be Hard,Three Dog Night,Dunhill
One,Three Dog Night,Stateside
I'll Never Fall In Love Again,Tom Jones,Jugoton
Love Me Tonight,Tom Jones,Decca
Crimson And Clover,Tommy James and The Shondells,Legend
Crystal Blue Persuasion,Tommy James and The Shondells,Roulette
Dizzy,Tommy Roe,ABC Records
Polk Salad Annie,Tony Joe White,Warner Bros. Records
You Showed Me,Turtles,London Records
Can I Change My Mind,Tyrone Davis,Dakar Records
Hawaii Five-O,Ventures,Liberty
Do Your Thing,Watts 103rd Street Rhythm Band,?
Color Him Father,Winstons,Metromedia Records
Get Together,Youngbloods,RCA Victor
In The Year 2525,Zager and Evans,RCA
Time Of The Season,Zombies,CBS
Somebody's Been Sleeping,100 Proof Aged In Soul,Cardinal International
"Tighter, Tighter",Alive and Kicking,?
Snowbird,Anne Murray,Capitol Records
Call Me,Aretha Franklin,Atlantic
The Thrill Is Gone,B.B. King,?
I Just Can't Help Believing,B.J. Thomas,?
Raindrops Keep Fallin' On My Head,B.J. Thomas,?
Come And Get It,Badfinger,Apple Records
The Long And Winding Road,Beatles,Capitol Records
Let It Be,Beatles,Silver Greatest
For You Blue,Beatles,Apple Records
Ride Captain Ride,Blues Image,Atlantic
For The Love Of Him,Bobbi Martin,United Artists Records
"Julie, Do Ya Love Me",Bobby Sherman,Metromedia Records
"Easy Come, Easy Go",Bobby Sherman,Summit Records Australia
Make It With You,Bread,Elektra
Rainy Night In Georgia,Brook Benton,Atlantic
United We Stand,Brotherhood Of Man,Deram
(They Long To Be) Close To You,Carpenters,A&M Records
We've Only Just Begun,Carpenters,A&M Records
Give Me Just A Little More Time,Chairmen Of The Board,Columbia
Love Land,Charles Wright and The Watts 103rd Street Rhythm Band,?
Express Yourself,Charles Wright and The Watts 103rd Street Rhythm Band,?
25 Or 6 To 4,Chicago,CBS/Sony
Make Me Smile,Chicago,Columbia
Yellow River,Christie,Epic
Patches,Clarence Carter,Atlantic
Long As I Can See The Light,Creedence Clearwater Revival,Fantasy
Who'll Stop The Rain,Creedence Clearwater Revival,Fantasy
Up Around The Bend,Creedence Clearwater Revival,Liberty
Lookin' Out My Back Door,Creedence Clearwater Revival,Fantasy
Run Through The Jungle,Creedence Clearwater Revival,Collectables
Travelin' Band,Creedence Clearwater Revival,America Records
Woodstock,"Crosby, Stills, Nash and Young",?
Candida,Dawn,Bell Records
Didn't I (Blow Your Mind This Time),Delfonics,Bell Records
Ain't No Mountain High Enough,Diana Ross,Almighty Records
I'll Never Fall In Love Again,Dionne Warwick,Scepter Records
Hey There Lonely Girl,Eddie Holman,ABC Records
Love Grows (Where My Rosemary Goes),Edison Lighthouse,Old Gold
War,Edwin Starr,Gordy
Mama Liked The Roses,Elvis Presley,RCA
The Wonder Of You,Elvis Presley,RCA Victor
Spill The Wine,Eric Burdon and War,Polydor
O-o-h Child,Five Stairsteps,Columbia
Still Water,Four Tops,Tamla Motown
Band Of Gold,Freda Payne,Festival Records
All Right Now,Free,A&M Records
Love Or Let Me Be Lonely,Friends Of Distinction,RCA Victor
House Of The Rising Sun,Frijid Pink,Deram
Groovy Situation,Gene Chandler,Mercury
It's Only Make Believe,Glen Campbell,Capitol Records
No Time,Guess Who,RCA Victor
American Woman,Guess Who,?
No Sugar Tonight,Guess Who,RCA Victor
"He Ain't Heavy, He's My Brother",Hollies,Parlophone
Vehicle,Ides Of March,Warner Bros. Records
I Want To Take You Higher,Ike and Tina Turner,Liberty
I'll Be There,Jackson 5,Tamla Motown
The Love You Save,Jackson 5,Motown
ABC,Jackson 5,Motown
I Want You Back,Jackson 5,Tamla Motown
The Rapper,Jaggerz,Kama Sutra
Fire And Rain,James Taylor,Warner Bros. Records
The Letter,Joe Cocker,A&M Records
Walk A Mile In My Shoes,Joe South,Jugoton
Instant Karma (We All Shine On),John Lennon,Apple Records
Something's Burning,Kenny Rogers and The First Edition,Reprise Records
Lola,Kinks,Arista
Arizona,Mark Lindsay,Columbia
Reflections Of My Life,Marmalade,London Records
Lay Down (Candles In The Rain),Melanie and The Edwin Hawkins Singers,?
Love On A Two Way Street,Moments,Stang Records
Mississippi Queen,Mountain,Bell Records
In The Summertime,Mungo Jerry,Pye Records
Cracklin' Rose,Neil Diamond,UNI Records
Look What They've Done To My Song Ma,New Seekers,Contour
Spirit In The Sky,Norman Greenbaum,Reprise Records
The Bells,Originals,Soul
Are You Ready?,Pacific Gas and Electric,Columbia
Gimme Dat Ding,Pipkins,Columbia
Which Way You Goin' Billy?,Poppy Family,Decca
Indiana Wants Me,R. Dean Taylor,?
(I Know) I'm Losing You,Rare Earth,Tamla Motown
Get Ready,Rare Earth,Rare Earth
Everything Is Beautiful,Ray Stevens,CBS
Lay A Little Lovin' On Me,Robin McNamara,Dot Records
(If You Let Me Make Love To You Then) Why Can't I Touch You,Ronnie Dyson,Columbia
Evil Ways,Santana,CBS
Venus,Shocking Blue,Champion
Bridge Over Troubled Water,Simon and Garfunkel,Geffen Records
Cecelia,Simon and Garfunkel,CBS
It's A Shame,Spinners,Tamla Motown
"Signed Sealed, Delivered (I'm Yours)",Stevie Wonder,Innocent
Green-Eyed Lady,Sugarloaf,United Artists Records
Up The Ladder To The Roof,Supremes,Motown
Ma Belle Amie,Tee Set,?
Psychedelic Shack,Temptations,Tamla Motown
Ball Of Confusion (That's What The World Is Today),Temptations,Tamla Motown
Mama Told Me (Not To Come),Three Dog Night,Stateside
Without Love (There Is Nothing),Tom Jones,Parrot
Turn Back The Hands Of Time,Tyrone Davis,Dakar Records
Hitchin' A Ride,Vanity Fare,Page One
My Baby Loves Lovin',White Plains,Deram
Tired Of Being Alone,Al Green,Cream Records
Love Story (Where Do I Begin),Andy Williams,Columbia
Bridge Over Troubled Water,Aretha Franklin,Atlantic
Spanish Harlem,Aretha Franklin,Atlantic
How Can You Mend A Broken Heart,Bee Gees,Polydor
Lonely Days,Bee Gees,Spin
Funky Nassau,Beginning Of The End,Alston Records
Stay Awhile,Bells,Polydor
Ain't No Sunshine,Bill Withers,Columbia
Watching Scotty Grow,Bobby Goldsboro,United Artists Records
If,Bread,Elektra
Right On The Tip Of My Tongue,Brenda and The Tabulations,Discophon
One Toke Over The Line,Brewer and Shipley,Kama Sutra
Timothy,Buoys,Scepter Records
That's The Way I've Always Heard It Should Be,Carly Simon,Elektra
I Feel The Earth Move,Carole King,A&M Records
It's Too Late,Carole King,A&M Records
Superstar,Carpenters,A&M Records
For All We Know,Carpenters,A&M Records
Rainy Days And Mondays,Carpenters,A&M Records
Wild World,Cat Stevens,Island Records
Beginnings,Chicago,Aprelevka Sound Inc.
Color My World,Chicago,?
Treat Her Like A Lady,Cornelius Brothers and Sister Rose,United Artists Records
Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,Stateside
I Hear You Knocking,Dave Edmunds,MAM
Knock Three Times,Dawn,Bell Records
Never Ending Song Of Love,Delaney and Bonnie and Friends,ATCO Records
Trapped By A Thing Called Love,Denise Lasalle,Westbound Records
Go Away Little Girl,Donny Osmond,MGM Records
Sweet And Innocent,Donny Osmond,MGM Records
Riders On The Storm,Doors,Elektra
Love Her Madly,Doors,Gamma
Whatcha See Is Whatcha Get,Dramatics,Stax
One Less Bell To Answer,Fifth Dimension,Arista
Signs,Five Man Electrical Band,Lionel Records
Here Comes That Rainy Day Feeling Again,Fortunes,Capitol Records
Bring The Boys Home,Freda Payne,Invictus
I Love You For All Seasons,Fuzz,Calla Records
Isn't It A Pity,George Harrison,Apple Records
My Sweet Lord,George Harrison,Apple Records
If I Were Your Woman,Gladys Knight and The Pips,Soul
If You Could Read My Mind,Gordon Lightfoot,Reprise Records
Temptation Eyes,Grass Roots,Probe
Don't Pull Your Love,"Hamilton, Joe Frank and Reynolds",?
I Don't Know How To Love Him,Helen Reddy,Capitol Records
Want Ads,Honey Cone,Collectables
Proud Mary,Ike and Tina Turner,Liberty
"Theme From ""Shaft""",Isaac Hayes,Reshape
Never Can Say Goodbye,Jackson 5,Motown
Mama's Pearl,Jackson 5,Tamla Motown
You've Got A Friend,James Taylor,Warner Bros. Records
Me And Bobby McGee,Janis Joplin,CBS
Mr. Big Stuff,Jean Knight,Stax
"When You're Hot, You're Hot",Jerry Reed,RCA Victor
Amos Moses,Jerry Reed,RCA Victor
The Night They Drove Old Dixie Down,Joan Baez,Vanguard
"Take Me Home, Country Roads",John Denver,RCA Victor
Amazing Grace,Judy Collins,Elektra
Groove Me,King Floyd,Chimneyville Records
Do You Know What I Mean,Lee Michaels,Hispavox
Me And You And A Dog Named Boo,Lobo,Big Tree Records
Rose Garden,Lynn Anderson,CBS
Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,ABC Records
Mercy Mercy Me (The Ecology),Marvin Gaye,East End Music
What's Going On,Marvin Gaye,Tamla
Woodstock,Matthews' Southern Comfort,UNI Records
I Am..I Said,Neil Diamond,MCA Records
Mr. Bojangles,Nitty Gritty Dirt Band,Big Country
Put Your Hand In The Hand,Ocean,Kama Sutra
If Not For You,Olivia Newton-John,?
One Bad Apple,Osmonds,Polydor
Yo-yo,Osmonds,MGM Records
I Woke Up In Love This Morning,Partridge Family,Bell Records
Doesn't Somebody Want To Be Wanted,Partridge Family,Bell Records
"Oh Woman, Oh Why",Paul McCartney,Apple Records
Another Day,Paul McCartney,Apple Records
Wedding Song (There Is Love),Paul Stookey,Eric Records
It's Impossible,Perry Como,RCA
Indian Reservation,Raiders,Columbia
I Just Want To Celebrate,Rare Earth,Rare Earth
Here Comes The Sun,Richie Havens,Discaz
It Don't Come Easy,Ringo Starr,Parlophone
Find A) Reason To Believe,Rod Stewart,?
Maggie May,Rod Stewart,Mercury
Brown Sugar,Rolling Stones,Rolling Stones Records
Help Me Make It Through The Night,Sammi Smith,Zodiac Records, Inc.
Sweet City Woman,Stampeders,Bell Records
If You Really Love Me,Stevie Wonder,Tamla Motown
Just My Imagination (Running Away With Me),Temptations,Tamla Motown
Liar,Three Dog Night,ABC/Dunhill Records
Joy To The World,Three Dog Night,Dunhill
She's A Lady,Tom Jones,Parrot
Draggin' The Line,Tommy James,Roulette
Smiling Faces Sometimes,Undisputed Truth,Gordy
Sweet Mary,Wadsworth Mansion,Sussex
Won't Get Fooled Again,Who,JAWS Records
"Don't Knock My Love, Pt. 1",Wilson Pickett,Atlantic
Last Night I Didn't Get To Sleep At All,5th Dimension,?
Let's Stay Together,Al Green,Hi Records
I'm Still In Love With You,Al Green,London Records
Look What You Done For Me,Al Green,Hi Records
School's Out,Alice Cooper,Taedo Record Co.
A Horse With No Name,America,Falcon Neue Medien
Joy,Apollo 100,Joker
Day Dreaming,Aretha Franklin,Atlantic
Hold Your Head Up,Argent,Epic
The City Of New Orleans,Arlo Guthrie,Reprise Records
Clean Up Woman,Betty Wright,Atlantic
Lean On Me,Bill Withers,CBS
Use Me,Bill Withers,Underground Records Inc.
Outa-Space,Billy Preston,A&M Records
Sealed With A Kiss,Bobby Vinton,Epic
Everything I Own,Bread,Elektra
Anticipation,Carly Simon,Elektra
Hurting Each Other,Carpenters,A&M Records
Morning Has Broken,Cat Stevens,Island Records
Jungle Fever,Chakachas,Polydor
Kiss An Angel Good Morning,Charlie Pride,?
The Way Of Love,Cher,MCA Records
Saturday In The Park,Chicago,Columbia
Oh Girl,Chi-Lites,?
My Ding-A-Ling,Chuck Berry,Cadet Records
Precious And Few,Climax,Bell Records
Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,Paramount Records
Too Late To Turn Back Now,Cornelius Brothers and Sister Rose,United Artists Records
Freddie's Dead,Curtis Mayfield,Buddah Records
Beautiful Sunday,Daniel Boone,Junction
Scorpio,Dennis Coffey and The Detroit Guitar Band,A&M Records
Layla,Derek and The Dominos,Polydor
Baby Let Me Take You (In My Arms),Detroit Emeralds,Janus Records
Vincent,Don Mclean,United Artists Records
American Pie,Don McLean,United Artists Records
Castles In The Air,Don Mclean,Millennium
The Happiest Girl In The Whole U.S.A.,Donna Fargo,Goldies 45
Puppy Love,Donny Osmond,MGM Records
Sylvia's Mother,Dr. Hook and The Medicine Show,?
In The Rain,Dramatics,Stax
Rocket Man,Elton John,UNI Records
Burning Love,Elvis Presley,RCA Victor
Nice To Be With You,Gallery,Sussex
Alone Again (Naturally),Gilbert O'Sullivan,?
Day By Day,Godspell,Flashback Records
Taxi,Harry Chapin,Elektra
I'd Like To Teach The World To Sing,Hillside Singers,Metromedia Records
Long Cool Woman (In A Black Dress),Hollies,Parlophone
Popcorn,Hot Butter,Intercord
Doctor My Eyes,Jackson Browne,Asylum Records
"Good Foot, Pt. 1",James Brown,?
You Don't Mess Around With Jim,Jim Croce,Intercord
Troglodyte,Jimmy Castor Bunch,RCA Victor
Drowning In The Sea Of Love,Joe Simon,Spring Records
Power Of Love,Joe Simon,Spring Records
I Gotcha,Joe Tex,Mercury
I Can See Clearly Now,Johnny Nash,Epic
Sunshine,Jonathan Edwards,Atlantic
Brandy (You're A Fine Girl),Looking Glass,Epic
If Loving You Is Wrong I Don't Want To Be Right,Luther Ingram,Malaco Records
Baby Don't Get Hooked On Me,Mac Davis,CBS
Everybody Plays The Fool,Main Ingredient,RCA Victor
Starting All Over Again,Mel and Tim,Stax
Brand New Key,Melanie,MasterTone
Ben,Michael Jackson,Motown
Rockin' Robin,Michael Jackson,Tamla Motown
Nights In White Satin,Moody Blues,Royal
How Do You Do,Mouth and MacNeal,Philips
Song Sung Blue,Neil Diamond,On Stage
Heart Of Gold,Neil Young,Paramount Pictures
I'd Like To Teach The World To Sing,New Seekers,Polydor
Without You,Nilsson,RCA Victor
Coconut,Nilsson,RCA Victor
Back Stabbers,O'Jays,?
Down By The Lazy River,Osmonds,MGM Records
Mother And Child Reunion,Paul Simon,Suzy
Go All The Way,Raspberries,Capitol Records
The Witch Queen Of New Orleans,Redbone,Epic
Garden Party,Rick Nelson,MCA Records
Speak To The Sky,Rick Springfield,Soundwings
The First Time Ever I Saw Your Face,Roberta Flack,Atlantic
Where Is The Love,Roberta Flack and Donny Hathaway,?
Motorcycle Mama,Sailcat,Elektra
Candy Man,Sammy Davis Jr.,?
Family Affair,Sly and The Family Stone,Streetheat Music
A Cowboy's Work Is Never Done,Sonny and Cher,Kapp Records
I'll Take You There,Staple Singers,ZYX Music
"Betcha By Golly, Wow",Stylistics,Avco Records
Bang A Gong (Get It On),T. Rex,?
Never Been To Spain,Three Dog Night,ABC/Dunhill Records
Black And White,Three Dog Night,Probe
I Saw The Light,Todd Rundgren,Warner Bros. Records
Slippin' Into Darkness,War,United Artists Records
Daddy Don't You Walk So Fast,Wayne Newton,RCA
Roundabout,Yes,Not On Label (BSTAR Series)
Here I Am (Come And Take Me),Al Green,Hi Records
It Never Rains In Southern California,Albert Hammond,Sony Music Entertainment (Germany) GmbH
Ramblin' Man,Allman Brothers,Special Music Company
Danny's Song,Anne Murray,Capitol Records
My Maria,B.W. Stevenson,?
I'm Gonna Love You Just A Little More,Barry White,20th Century Records
Do You Want To Dance?,Bette Midler,Atlantic
Boogie Woogie Bugle Boy,Bette Midler,Atlantic
Me And Mrs. Jones,Billy Paul,Epic
Will It Go Round In Circles,Billy Preston,A&M Records
Natural High,Bloodstone,London Records
Monster Mash,"Bobby ""Boris"" Pickett and The Crypt Kickers",?
You're So Vain,Carly Simon,Elektra
Sing,Carpenters,A&M Records
Yesterday Once More,Carpenters,A&M Records
Behind Closed Doors,Charlie Rich,Epic
Half Breed,Cher,MCA Records
Feelin' Stronger Every Day,Chicago,CBS
Playground In My Mind,Clint Holmes,Epic
Superfly,Curtis Mayfield,Radio Active Gold
Space Oddity,David Bowie,Philips
Smoke On The Water,Deep Purple,EMI
Also Sprach Zarathustra (2001),Deodato,CTI Records
Touch Me In The Morning,Diana Ross,Motown
Drift Away,Dobie Gray,MCA Records
Funny Face,Donna Fargo,Dot Records
The Twelfth Of Never,Donny Osmond,PGP RTB
Long Train Running,Doobie Brothers,Not On Label
The Cover Of Rolling Stone,Dr. Hook and The Medicine Show,?
"Right Place, Wrong Time",Dr. John,?
Frankenstein,Edgar Winter Group,Epic
Free Ride,Edgar Winter Group,Epic
Last Song,Edward Bear,Capitol Records
Daniel,Elton John,DJM Records
Crocodile Rock,Elton John,DJM Records
Hocus Pocus,Focus,Polydor
Ain't No Woman (Like The One I Got),Four Tops,Probe
Give Me Love (Give Me Peace On Earth),George Harrison,Apple Records
Clair,Gilbert O'Sullivan,?
Get Down,Gilbert O'Sullivan,?
Midnight Train To Georgia,Gladys Knight and The Pips,Buddah Records
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight and The Pips,Tamla Motown
We're An American Band,Grand Funk Railroad,Original Records
Peaceful,Helen Reddy,Capitol Records
Delta Dawn,Helen Reddy,Capitol Records
"Oh, Babe, What Would You Say?",Hurricane Smith,Columbia
Daddy's Home,Jermaine Jackson,Tamla Motown
Bad Bad Leroy Brown,Jim Croce,Vertigo
Rocky Mountain High,John Denver,RCA Victor
I Believe In You,Johnnie Taylor,Stax
Stir It Up,Johnny Nash,Philips
Rockin' Pneumonia And The Boogie Woogie Flu,Johnny Rivers,EMI USA
Daisy A Day,Jud Strunk,MGM Records
Dancing In The Moonlight,King Harvest,Perception Records
Why Me,Kris Kristofferson,Columbia
Don't Expect Me To Be Your Friend,Lobo,Big Tree Records
Your Mama Don't Dance,Loggins and Messina,CBS
Let's Get It On,Marvin Gaye,Motown Records, Canada Ltd.
The Morning After,Maureen McGovern,20th Century Records
Funky Worm,Ohio Players,Westbound Records
Love Train,O'Jays,?
My Love,Paul McCartney and Wings,?
Loves Me Like A Rock,Paul Simon,CBS
Kodachrome,Paul Simon,CBS
Money,Pink Floyd,Harvest
Yes We Can Can,Pointer Sisters,Blue Thumb Records
Killing Me Softly With His Song,Roberta Flack,Atlantic
Angie,Rolling Stones,Rolling Stones Records
Diamond Girl,Seals and Crofts,Warner Bros. Records
Wildflower,Skylark,Capitol Records
If You Want Me To Stay,Sly and The Family Stone,Epic
Could It Be I'm Falling In Love,Spinners,Atlantic
One Of A Kind (Love Affair),Spinners,Atlantic
Stuck In The Middle With You,Stealers Wheel,A&M Records
Reelin' In The Years,Steely Dan,MCA Records
Do It Again,Steely Dan,Probe
You Are The Sunshine Of My Life,Stevie Wonder,Tamla Motown
Higher Ground,Stevie Wonder,Tamla
Superstition,Stevie Wonder,Tamla Motown
Brother Louie,Stories,Kama Sutra
Break Up To Make Up,Stylistics,Avco Records
Little Willy,Sweet,RCA Victor
Pillow Talk,Sylvia,Vibration
Masterpiece,Temptations,Gordy
Papa Was A Rolling Stone,Temptations,Motown
Shambala,Three Dog Night,ABC/Dunhill Records
Why Can't We Live Together,Timmy Thomas,Shoes
"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,?
Tie A Yellow Ribbon Round The Ole Oak Tree,Tony Orlando and Dawn,?
So Very Hard To Go,Tower Of Power,Warner Bros. Records
The Night The Lights Went Out In Georgia,Vicki Lawrence,Bell Records
The World Is A Ghetto,War,United Artists Records
Gypsy Man,War,United Artists Records
The Cisco Kid,War,United Artists Records
Live And Let Die,Wings,Apple Records
Waterloo,ABBA,Polydor
Show And Tell,Al Wilson,Rocky Road Records
Rock Me Gently,Andy Kim,President Records
A Love Song,Anne Murray,Capitol Records
You Won't See Me,Anne Murray,Capitol Records
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,Atlantic
Takin' Care Of Business,Bachman-Turner Overdrive,?
The Way We Were,Barbra Streisand,Columbia
"Never, Never Gonna Give You Up",Barry White,?
Nothing From Nothing,Billy Preston,A&M Records
Sideshow,Blue Magic,ATCO Records
Hooked On A Feeling,Blue Swede,EMI
Billy Don't Be A Hero,Bo Donaldson and The Heywoods,ABC Records
Lookin' For A Love,Bobby Womack,United Artists Records
Smokin' In The Boy's Room,Brownsville Station,Big Tree Records
Mockingbird,Carly Simon,Elektra
Top Of The World,Carpenters,A&M Records
Oh Very Young,Cat Stevens,Island Records
A Very Special Love Song,Charlie Rich,Eagle
The Most Beautiful Girl,Charlie Rich,Epic
Dark Lady,Cher,MCA Records
(I've Been) Searchin' So Long,Chicago,Columbia
Call On Me,Chicago,Columbia
Please Come To Boston,Dave Loggins,Epic
Rock On,David Essex,Columbia
My Mistake Was To Love You,Diana Ross and Marvin Gaye,?
Then Came You,Dionne Warwick and The Spinners,?
I'm Leaving It All Up To You,Donny and Marie Osmond,MGM Records
Boogie Down,Eddie Kendricks,Tamla Motown
Don't Let The Sun Go Down On Me,Elton John,MCA Records
Bennie And The Jets,Elton John,MCA Records
I Shot The Sheriff,Eric Clapton,RSO
Wild Thing,Fancy,Atlantic
Beach Baby,First Class,UK Records
Rock Your Baby,George McCrae,RCA Victor
Best Thing That Ever Happened To Me,Gladys Knight and The Pips,Buddah Records
On And On,Gladys Knight and The Pips,Buddah Records
I've Got To Use My Imagination,Gladys Knight and The Pips,Buddah Records
Radar Love,Golden Earring,Track Record
Sundown,Gordon Lightfoot,Reprise Records
The Loco-Motion,Grand Funk Railroad,Capitol Records
Clap For The Wolfman,Guess Who,RCA Victor
You And Me Against The World,Helen Reddy,Capitol Records
Leave Me Alone (Ruby Red Dress),Helen Reddy,Capitol Records
The Air That I Breathe,Hollies,Polydor
Rock The Boat,Hues Corporation,RCA
Dancing Machine,Jackson 5,Tapecar
Time In A Bottle,Jim Croce,Vertigo
I'll Have To Say I Love You In A Song,Jim Croce,21 Records
My Girl Bill,Jim Stafford,MGM Records
Wildwood Weed,Jim Stafford,MGM Records
Spiders And Snakes,Jim Stafford,MGM Records
Sunshine On My Shoulders,John Denver,RCA
Annie's Song,John Denver,RCA
Hang On In There Baby,Johnny Bristol,MGM Records
Help Me,Joni Mitchell,Asylum Records
Hollywood Swinging,Kool and The Gang,De-Lite Records
Jungle Boogie,Kool and The Gang,Polydor
Trying To Hold On To My Woman,Lamont Dozier,ABC Records
Love's Theme,Love Unlimited Orchestra,20th Century Records
One Hell Of A Woman,Mac Davis,CBS Records
Just Don't Want To Be Lonely,Main Ingredient,RCA Victor
Midnight At The Oasis,Maria Muldaur,Reprise Records
The Entertainer,Marvin Hamlisch,MCA Records
TSOP,MFSB,Philadelphia International Records
Tubular Bells,Mike Oldfield,Virgin
Eres Tu (Touch The Wind),Mocedades,Tara Records
Put Your Hands Together,O'Jays,?
For The Love Of Money,O'Jays,?
I Honestly Love You,Olivia Newton-John,?
If You Love Me (Let Me Know),Olivia Newton-John,?
Let Me Be There,Olivia Newton-John,?
The Night Chicago Died,Paper Lace,BR Music
(You're) Having My Baby,Paul Anka,United Artists Records
Band On The Run,Paul McCartney and Wings,IMD
Jet,Paul McCartney and Wings,Columbia
Helen Wheels,Paul McCartney and Wings,Apple Records
The Streak,Ray Stevens,Joy's Limited Editions
Come And Get Your Love,Redbone,Epic
Rock And Roll Heaven,Righteous Brothers,Capitol Records
You're Sixteen,Ringo Starr,Capitol Records
Oh My My,Ringo Starr,Apple Records
Feel Like Makin' Love,Roberta Flack,Atlantic
Tell Me Something Good,Rufus,MCA Records
The Lord's Prayer,Sister Janet Mead,A&M Records
Rikki Don't Lose That Number,Steely Dan,MCA Records
The Joker,Steve Miller Band,Capitol Records
Living For The City,Stevie Wonder,Tamla Motown
Don't You Worry 'Bout A Thing,Stevie Wonder,Tamla
You Make Me Feel Brand New,Stylistics,Avco Records
Rockin' Roll Baby,Stylistics,Avco Records
Seasons In The Sun,Terry Jacks,Old Gold
The Show Must Go On,Three Dog Night,ABC/Dunhill Records
"Hello, It's Me",Todd Rundgren,Warner Bros. Records
I Love,Tom T. Hall,?
Me And Baby Brother,War,United Artists Records
Keep On Smilin',Wet Willie,Capricorn Records
Be Thankful For What You Got,William Devaughn,EMI
I'm Not In Love,10cc,?
How Long,Ace,Anchor Records
Sha-La-La (Make Me Happy),Al Green,London Records
Only Women Bleed,Alice Cooper,Anchor Records
Third Rate Romance,Amazing Rhythm Aces,ABC Records
Lonely People,America,Warner Bros. Records
Sister Golden Hair,America,Warner Bros. Records
Cut The Cake,Average White Band,Atlantic
Pick Up The Pieces,Average White Band,Atlantic
(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,?
Express,B.T. Express,?
You Aint Seen Nothin' Yet,Bachman-Turner Overdrive,?
Free Wheelin',Bachman-Turner Overdrive,?
Feel Like Makin' Love,Bad Company,Swan Song
Could It Be Magic,Barry Manilow,Arista
Mandy,Barry Manilow,Bell Records
"You're The First, The Last, My Everything",Barry White,Universal
Jive Talkin',Bee Gees,RSO
I Can Help,Billy Swan,Monument
Walking In Rhythm,Blackbyrds,ZYX Music
Love Will Keep Us Together,Captain and Tennille,A&M Records
Kung Fu Fighting,Carl Douglas,BMG
Doctor's Orders,Carol Douglas,RCA Victor
Only Yesterday,Carpenters,A&M Records
Please Mr. Postman,Carpenters,A&M Records
Fame,David Bowie,RCA
Get Dancin',Disco Tex and The Sex-O-lettes,?
Morning Side Of The Mountain,Donny and Marie Osmond,MGM Records
Black Water,Doobie Brothers,Warner Bros. Records
I'm On Fire,Dwight Twilley Band,Shelter Records
Best Of My Love,Eagles,Asylum Records
One Of These Nights,Eagles,Asylum Records
Lyin' Eyes,Eagles,Asylum Records
Shining Star,"Earth, Wind and Fire",?
Shoeshine Boy,Eddie Kendricks,Tamla
Can't Get It Out Of My Head,Electric Light Orchestra,Warner Bros. Records
Someone Saved My Life Tonight,Elton John,Jugoton
Lucy In The Sky With Diamonds,Elton John,DJM Records
Philadelphia Freedom,Elton John,DJM Records
My Eyes Adored You,Frankie Valli,Private Stock
Swearin' To God,Frankie Valli,Private Stock
Before The Next Teardrop Falls,Freddy Fender,ABC Dot
Wasted Days And Wasted Nights,Freddy Fender,Dot Records
The Way We Were,Gladys Knight and The Pips,Gallo
Rhinestone Cowboy,Glen Campbell,Capitol Records
Never Can Say Goodbye,Gloria Gaynor,MGM Records
Some Kind Of Wonderful,Grand Funk,4 Track
Bad Time,Grand Funk,Capitol Records
Fallin' In Love,"Hamilton, Joe Frank and Reynolds",?
Cat's In The Cradle,Harry Chapin,Elektra
Angie Baby,Helen Reddy,Movieplay
"Fight The Power, Pt. 1",Isley Brothers,?
How Sweet It Is (To Be Loved by You),James Taylor,Warner Bros. Records
At Seventeen,Janis Ian,Columbia
I'm Not Lisa,Jessi Colter,Capitol Records
Bungle In The Jungle,Jethro Tull,Chrysalis
You Are So Beautiful,Joe Cocker,Cube Records
It's A Sin When You Love Somebody,Joe Cocker,A&M Records
"Get Down, Get Down (Get On The Floor)",Joe Simon,Polydor
I'm Sorry,John Denver,RCA Victor
Calypso,John Denver,RCA
Thank God I'm A Country Boy,John Denver,RCA Victor
Get Down Tonight,K.C. and The Sunshine Band,?
Lady Marmalade,Labelle,Epic
